lib/services/enhanced-pdf-report-service.ts(347,22): error TS2345: Argument of type 'undefined' is not assignable to parameter of type 'string'.
lib/services/enhanced-pdf-report-service.ts(349,22): error TS2345: Argument of type 'undefined' is not assignable to parameter of type 'string'.
lib/services/enhanced-pdf-report-service.ts(374,22): error TS2345: Argument of type 'undefined' is not assignable to parameter of type 'string'.
lib/services/enhanced-pdf-report-service.ts(404,24): error TS2345: Argument of type 'undefined' is not assignable to parameter of type 'string'.
lib/services/enhanced-pdf-report-service.ts(408,24): error TS2345: Argument of type 'undefined' is not assignable to parameter of type 'string'.
lib/services/enhanced-pdf-report-service.ts(560,22): error TS2345: Argument of type 'undefined' is not assignable to parameter of type 'string'.
lib/services/enhanced-pdf-report-service.ts(593,25): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ soja: string; milho: string; algodao: string; arroz: string; sorgo: string; feijao: string; }'.
lib/services/enhanced-pdf-report-service.ts(638,16): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ soja: string; milho: string; algodao: string; arroz: string; sorgo: string; feijao: string; }'.
lib/services/enhanced-pdf-report-service.ts(661,29): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ soja: string; milho: string; algodao: string; arroz: string; sorgo: string; feijao: string; }'.
lib/services/enhanced-pdf-report-service.ts(665,24): error TS2345: Argument of type 'undefined' is not assignable to parameter of type 'string'.
lib/services/enhanced-pdf-report-service.ts(682,31): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ soja: string; milho: string; algodao: string; arroz: string; sorgo: string; feijao: string; }'.
lib/services/enhanced-pdf-report-service.ts(694,33): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ soja: string; milho: string; algodao: string; arroz: string; sorgo: string; feijao: string; }'.
lib/services/enhanced-pdf-report-service.ts(755,25): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ soja: string; milho: string; algodao: string; arroz: string; sorgo: string; feijao: string; }'.
lib/services/enhanced-pdf-report-service.ts(800,16): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ soja: string; milho: string; algodao: string; arroz: string; sorgo: string; feijao: string; }'.
lib/services/enhanced-pdf-report-service.ts(1638,24): error TS2345: Argument of type 'undefined' is not assignable to parameter of type 'string'.
lib/services/enhanced-pdf-report-service.ts(1643,24): error TS2345: Argument of type 'undefined' is not assignable to parameter of type 'string'.
lib/services/enhanced-pdf-report-service.ts(1662,22): error TS2345: Argument of type 'undefined' is not assignable to parameter of type 'string'.
lib/services/enhanced-pdf-report-service.ts(1675,22): error TS2345: Argument of type 'undefined' is not assignable to parameter of type 'string'.
lib/services/enhanced-pdf-report-service.ts(1679,11): error TS2393: Duplicate function implementation.
lib/services/enhanced-pdf-report-service.ts(1785,11): error TS2393: Duplicate function implementation.
