lib/actions/enhanced-report-actions.ts(147,58): error TS2345: Argument of type '([cultura, area]: [any, any]) => { cultura: any; area: any; percentual: number; }' is not assignable to parameter of type '(value: unknown, index: number, array: unknown[]) => { cultura: any; area: any; percentual: number; }'.
lib/actions/enhanced-report-actions.ts(211,9): error TS2322: Type 'string | null' is not assignable to type 'string | undefined'.
lib/actions/enhanced-report-actions.ts(224,9): error TS2322: Type '{ safra: any; culturas: unknown[]; total: any; }[]' is not assignable to type '{ safra: string; culturas: { cultura: string; area: number; percentual: number; }[]; total: number; }[]'.
lib/actions/enhanced-report-actions.ts(252,9): error TS2322: Type '{ safra: string; receitaTotal: number; culturas: { cultura: string; receita: number; percentual: number; }[]; }[]' is not assignable to type '{ safra: string; culturas: { cultura: string; receita: number; percentual: number; }[]; total: number; }[]'.
lib/actions/enhanced-report-actions.ts(322,34): error TS2339: Property 'receitas' does not exist on type 'DREData'.
lib/actions/enhanced-report-actions.ts(322,72): error TS2339: Property 'resultado' does not exist on type 'DREData'.
lib/actions/enhanced-report-actions.ts(322,93): error TS2339: Property 'margem' does not exist on type 'DREData'.
lib/actions/enhanced-report-actions.ts(324,51): error TS2339: Property 'receitas' does not exist on type 'DREData'.
lib/actions/enhanced-report-actions.ts(327,44): error TS2339: Property 'receitas' does not exist on type 'DREData'.
lib/actions/enhanced-report-actions.ts(328,49): error TS2339: Property 'custo_total' does not exist on type '{ agricola: Record<string, number>; pecuaria: Record<string, number>; total: Record<string, number>; }'.
lib/actions/enhanced-report-actions.ts(329,38): error TS2339: Property 'resultado' does not exist on type 'DREData'.
lib/actions/enhanced-report-actions.ts(330,44): error TS2339: Property 'resultado' does not exist on type 'DREData'.
lib/actions/enhanced-report-actions.ts(331,44): error TS2339: Property 'margem' does not exist on type 'DREData'.
lib/actions/enhanced-report-actions.ts(332,45): error TS2339: Property 'margem' does not exist on type 'DREData'.
lib/actions/enhanced-report-actions.ts(370,36): error TS2339: Property 'total_por_categoria' does not exist on type 'ConsolidatedDebtPosition'.
lib/actions/enhanced-report-actions.ts(372,37): error TS2339: Property 'total_por_categoria' does not exist on type 'ConsolidatedDebtPosition'.
lib/actions/enhanced-report-actions.ts(386,24): error TS2339: Property 'modalidade' does not exist on type 'DebtPositionData'.
lib/actions/enhanced-report-actions.ts(388,31): error TS2339: Property 'modalidade' does not exist on type 'DebtPositionData'.
lib/actions/enhanced-report-actions.ts(413,34): error TS2339: Property 'instituicao' does not exist on type 'DebtPositionData'.
lib/actions/enhanced-report-actions.ts(433,34): error TS2339: Property 'moeda' does not exist on type 'DebtPositionData'.
lib/actions/enhanced-report-actions.ts(466,53): error TS2551: Property 'divida_receita' does not exist on type '{ dividaReceita: number; dividaEbitda: number; dividaLiquidaReceita: number; dividaLiquidaEbitda: number; }'. Did you mean 'dividaReceita'?
lib/actions/enhanced-report-actions.ts(476,60): error TS2551: Property 'divida_receita' does not exist on type '{ dividaReceita: number; dividaEbitda: number; dividaLiquidaReceita: number; dividaLiquidaEbitda: number; }'. Did you mean 'dividaReceita'?
lib/actions/enhanced-report-actions.ts(477,59): error TS2551: Property 'divida_ebitda' does not exist on type '{ dividaReceita: number; dividaEbitda: number; dividaLiquidaReceita: number; dividaLiquidaEbitda: number; }'. Did you mean 'dividaEbitda'?
lib/actions/enhanced-report-actions.ts(492,28): error TS2339: Property 'total_por_categoria' does not exist on type 'ConsolidatedDebtPosition'.
lib/actions/enhanced-report-actions.ts(492,64): error TS2339: Property 'total_por_categoria' does not exist on type 'ConsolidatedDebtPosition'.
lib/actions/enhanced-report-actions.ts(493,62): error TS2339: Property 'total_por_categoria' does not exist on type 'ConsolidatedDebtPosition'.
lib/actions/enhanced-report-actions.ts(494,43): error TS2365: Operator '+' cannot be applied to types 'number' and '{}'.
lib/actions/enhanced-report-actions.ts(611,9): error TS2353: Object literal may only specify known properties, and 'projected' does not exist in type '{ projection: { ano: number; receitasAgricolas: number; despesasAgricolas: number; outrasDespesas: { arrendamento: number; proLabore: number; outras: number; total: number; }; investimentos: { maquinarios: number; outros: number; total: number; }; financeiras: { ...; }; saldoGeral: number; saldoAcumulado: number; }[...'.
lib/actions/enhanced-report-actions.ts(612,50): error TS2339: Property 'fluxo_de_caixa' does not exist on type 'FluxoCaixaCompletoData'.
lib/actions/enhanced-report-actions.ts(614,51): error TS2339: Property 'fluxo_de_caixa' does not exist on type 'FluxoCaixaCompletoData'.
lib/actions/enhanced-report-actions.ts(621,49): error TS2339: Property 'fluxo_de_caixa' does not exist on type 'FluxoCaixaCompletoData'.
lib/actions/enhanced-report-actions.ts(622,49): error TS2339: Property 'fluxo_de_caixa' does not exist on type 'FluxoCaixaCompletoData'.
lib/actions/enhanced-report-actions.ts(623,46): error TS2339: Property 'fluxo_de_caixa' does not exist on type 'FluxoCaixaCompletoData'.
lib/actions/enhanced-report-actions.ts(624,45): error TS2339: Property 'fluxo_de_caixa' does not exist on type 'FluxoCaixaCompletoData'.
lib/actions/enhanced-report-actions.ts(625,43): error TS2339: Property 'fluxo_de_caixa' does not exist on type 'FluxoCaixaCompletoData'.
lib/actions/enhanced-report-actions.ts(626,45): error TS2339: Property 'fluxo_de_caixa' does not exist on type 'FluxoCaixaCompletoData'.
lib/actions/enhanced-report-actions.ts(627,47): error TS2339: Property 'fluxo_de_caixa' does not exist on type 'FluxoCaixaCompletoData'.
lib/actions/enhanced-report-actions.ts(628,53): error TS2339: Property 'fluxo_de_caixa' does not exist on type 'FluxoCaixaCompletoData'.
lib/actions/enhanced-report-actions.ts(629,42): error TS2339: Property 'fluxo_de_caixa' does not exist on type 'FluxoCaixaCompletoData'.
lib/actions/enhanced-report-actions.ts(630,51): error TS2339: Property 'fluxo_de_caixa' does not exist on type 'FluxoCaixaCompletoData'.
